Fp1,Fp2,F3,F4,F7,F8,T3,T4,C3,C4,T5,T6,P3,P4,O1,O2,target
5.9113,4.7896,-3.1779,-1.0152,11.815,-2.0202,-2.0667,-6.9593,-2.9703,-1.0774,-16.617001,-24.26,-16.08,-15.908,-3.764,-35.402,0
2.9557,6.7314,-5.2504,0,5.8746,3.0303,-7.0667,-2.0813,-8.9109,-2.0875,-27.455,-22.309,-25.125999,-19.868,-0.89314,-43.284,0
5.9113,9.644,-3.1779,2.0305,4.8845,8.0808,-8.0667,5.7236,-6.9307,0.94276,-27.455,-11.577,-26.131001,-17.888,-10.463,-37.373001,0
0.98522,6.7314,-3.1779,2.0305,4.8845,8.0808,-2.0667,8.6504,-6.9307,0.94276,-17.603001,-0.84553,-20.101,-12.937,-8.5486,-19.639,0
-0.98522,3.8188,-6.2867,-3.0457,5.8746,1.0101,-3.0667,5.7236,-1.9802,-0.06734,-5.78,5.9837,-9.0452,-6.0066,-3.764,1.0509,0
-0.98522,2.8479,-4.2142,-2.0305,9.835,2.0202,1.9333,4.748,0,1.9529,6.0427,9.8862,2.0101,1.9142,-0.89314,17.799999,0
0,-0.06472,-5.2504,-4.0609,8.8449,2.0202,3.9333,2.7967,0,2.963,6.0427,5.9837,6.0302,5.8746,-4.7209,19.77,0
1.9704,2.8479,3.0397,-1.0152,10.825,1.0101,1.9333,0.84553,4.9505,2.963,6.0427,-2.7967,9.0452,4.8845,-7.5917,12.874,0
9.8522,10.615,7.1848,4.0609,15.776,8.0808,5.9333,1.8211,7.9208,5.9933,8.0131,-6.6992,10.05,3.8944,-4.7209,4.9918,0
6.8966,7.7023,0.96718,0,9.835,3.0303,-2.0667,-5.0081,-0.9901,-2.0875,-4.7947,-17.431,-4.0201,-7.9868,-6.6348,-13.727,0
1.9704,2.8479,-9.3955,-8.1218,3.8944,-1.0101,-13.067,-13.789,-12.871,-13.199,-19.573,-27.187,-21.106001,-23.827999,-6.6348,-33.431999,0
0,0.90615,-11.468,-11.168,1.9142,-4.0404,-13.067,-13.789,-17.822001,-19.259001,-24.499001,-29.138,-29.146,-30.759001,0.0638,-45.255001,0
-2.9557,-2.0065,-9.3955,-12.183,0.92409,-6.0606,-14.067,-9.8862,-15.842,-18.249001,-24.499001,-24.26,-28.141001,-29.768999,4.8485,-45.255001,0
1.9704,3.8188,-6.2867,-6.0914,1.9142,-2.0202,-9.0667,-3.0569,-12.871,-9.1582,-19.573,-12.553,-22.111,-18.878,-2.807,-30.476,0
